dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
7412,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.688396,0.07194,0.845498,0.035786,0.846782,0.047955,0.843745,0.05549,0.844434,0.036423,0.845263,0.036176,0.690526,0.072353
2558,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.695802,0.069973,0.848519,0.034962,0.842295,0.046882,0.856976,0.053093,0.84885,0.035407,0.849636,0.035224,0.699271,0.070448
880,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.700138,0.069294,0.850577,0.034637,0.843807,0.04742,0.859774,0.052943,0.850974,0.034982,0.85179,0.034809,0.703581,0.069618
2673,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.696052,0.071212,0.847917,0.035827,0.835352,0.048878,0.864991,0.052438,0.849277,0.036008,0.850172,0.035808,0.700344,0.071616
2672,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.695462,0.071168,0.847615,0.035795,0.835007,0.048842,0.864747,0.052559,0.848977,0.035985,0.849877,0.035791,0.699754,0.071583
2928,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.695737,0.071167,0.84775,0.035806,0.835098,0.048867,0.864943,0.052391,0.849124,0.035979,0.85002,0.035783,0.700041,0.071566
2929,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.696024,0.071194,0.847907,0.035805,0.835355,0.048765,0.864965,0.052548,0.849265,0.036008,0.85016,0.035809,0.700319,0.071618
3121,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.692371,0.069429,0.84691,0.034599,0.841858,0.046566,0.853765,0.05384,0.84701,0.035128,0.847811,0.034962,0.695622,0.069924
3377,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.692447,0.069344,0.846961,0.034538,0.842056,0.04646,0.853615,0.053964,0.847033,0.035083,0.847835,0.034925,0.69567,0.06985
5937,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.696943,0.070564,0.849019,0.035138,0.842158,0.046657,0.858327,0.053826,0.849447,0.035641,0.850243,0.035501,0.700485,0.071003
